00128 MB 9.72 1.75 1.81 1.79 12.27 1.79 19.59 1.78 11.25 1.78 21.54 1.79 3.93 1.88 6.13 1.77 19.15 1.82 6.25 2.32 46.89 32.66 1.84 9.17 1.84
00256 MB 1.68 1.72 1.70 1.70 1.73 1.67 1.69 1.77 1.64 1.71 1.71 1.75 1.80 1.72 1.71 1.78 1.69 1.71 1.65 1.76 1.67 1.72 1.72 1.71 1.75
00512 MB 10.03 1.64 1.57 1.71 1.54 1.48 1.67 1.70 1.79 1.49 1.65 1.70 1.51 1.90 1.83 1.83 1.80 1.79 1.77 2.04 1.84 1.81 1.85 1.68 1.77
01024 MB 1.97 2.77 2.16 1.81 17.26 1.93 1.99 13.47 1.79 1.85 1.85 1.79 1.83 1.85 1.86 1.82 1.86 1.77 1.81 1.81 1.82 1.92 1.80 1.91 1.82
01536 MB 2.62 2.56 6.32 2.34 2.16 8.53 1.69 2.36 1.69 1.57 2.03 2.21 2.18 1.88 2.10 2.12 2.21 2.16 2.12 1.98 1.54 1.72 2.30 1.69 1.88
03008 MB 1.96 1.88 1.93 1.80 1.62 7.97 1.80 12.79 1.71 1.75 1.68 1.73 1.66 1.69 1.70 1.67 1.72 1.69 1.67 1.74 1.73 1.70 1.73 1.65 1.73
UNIXTIME,1540212349350
